,1,2,3,4,5,6
64,Liberty Science Center Afterdark!!!!,"Group name:
50 By 50 Travel Wine And Dine And Amazing Times • Woodbridge, NJ","FRI, MAY 20 · 12:30 AM UTC+2",6 attendees,9 spots left,https://www.meetup.com/meetup-group-yaetucwl/events/285714746
65,Want to be happier and more confident?,"Group name:
Self-confidence NY NJ Meetup Group • New York, NY","FRI, MAY 20 · 1:00 AM UTC+2",285 attendees,No place left,https://www.meetup.com/self-confidence-ny-nj-meetup-group/events/285380389
66,Conversation w/ MLOps Industry Veteran Yuval Fernbach,"Group name:
MLOps NYC • New York, NY","FRI, MAY 20 · 1:00 AM UTC+2",42 attendees,No place left,https://www.meetup.com/MLOps-NYC/events/285703873
67,The Post-Office Girl - Stefan Zweig,"Group name:
Great Loves Book Club • New York, NY","FRI, MAY 20 · 1:00 AM UTC+2",23 attendees,No place left,https://www.meetup.com/Great-Loves-Book-Club/events/285408679
68,Happy Hour @ Smorgasbar,"Group name:
Jersey City Connects • Jersey City, NJ","FRI, MAY 20 · 1:00 AM UTC+2",82 attendees,No place left,https://www.meetup.com/jersey-city-connects/events/285645368
69,AMC NY/NJ 20s and 30s Spring Kickoff Social,"Group name:
Appalachian Mountain Club - Young Members • New York, NY","FRI, MAY 20 · 1:00 AM UTC+2",33 attendees,No place left,https://www.meetup.com/AMCYoungMembers/events/285634911
70,Understanding the War In Ukraine,"Group name:
The Network for Responsible Public Policy • Ridgewood, NJ","FRI, MAY 20 · 1:30 AM UTC+2",10 attendees,No place left,https://www.meetup.com/nfrpp-public-policy-forum-meetup-group/events/285675710
71,Thursday Evening 7vs7 Pickup,"Group name:
Socceroof LIC (Pickup, Events and more...) • Astoria, NY","FRI, MAY 20 · 3:00 AM UTC+2",21 attendees,No place left,https://www.meetup.com/SocceroofLIC/events/285606358
72,Successfully implementing the key elements of Data & Analytics Strategy,"Group name:
Data Science Festival - New York • New York, NY","FRI, MAY 20 · 2:00 PM UTC+2",24 attendees,No place left,https://www.meetup.com/Data-Science-Festival-New-York/events/285670172
73,Entrepreneurs Forum: Reemergence,"Group name:
New York Entrepreneurs • New York, NY","FRI, MAY 20 · 6:00 PM UTC+2",72 attendees,No place left,https://www.meetup.com/new-york-entrepreneurship-meetup-group/events/285745762
74,Introduction to NSR Meditation/East Coast,"Group name:
Introduction to NSR Meditation/East Coast • New York, NY","FRI, MAY 20 · 7:30 PM UTC+2",5 attendees,No place left,https://www.meetup.com/introduction-to-nsr-meditation-east-coast/events/285885668
75,"IN PERSON MEETUP: Free speech, Elon Musk, the ""Disinformation Governance Board""","Group name:
New York City IDW - NYC Intellectual Dark Web • New York, NY","FRI, MAY 20 · 11:30 PM UTC+2",15 attendees,No place left,https://www.meetup.com/new-york-idw-group/events/285592467
76,May 20 Entrepreneur Networking Party,"Group name:
NYC Entrepreneurs & Startups • New York, NY","FRI, MAY 20 · 11:30 PM UTC+2",15 attendees,No place left,https://www.meetup.com/meetup-group-denmnbrk/events/285751861
